ComID,Committee,cat1,cat2,IEdesignator
30639,Friends of MN School Bus Operators Assn,pac,biz,0
40809,Friends of the Minn Zoo,pac,,0
40792,Fryberger Buchanan Smith & Frederick PAC,pac,lawyers,0
40962,Gay and Lesbian Victory Fund,pac,issue,0
30587,Goff Public PAC,pac,biz,0
40066,GOP FC PAC,pac,prorpm,0
40970,Grand Portage PAC,pac,indian,0
40903,Grand Rapids Area Chamber of Commerce PAC,pac,biz,0
40725,Gray Plant Mooty Mooty & Bennett Independent PAC,pac,lawyers,0
40825,GREAT (Great River Energy Action Team-State),pac,biz,0
30634,Greater Minnesota Votes,pac,biz,1
40417,Hammel Green & Abrahamson Inc PAC,pac,biz,0
30337,Health Partners Civic Affairs Council,pac,biz,0
41020,Hennepin County Deputies PAC (fka Hennepin Cnty Law Enfcmt PAC),pac,labor,0
40840,Hennepin Cty Probation & Parole Officers Union,pac,labor,0
30218,Hospitality Political Action Committee,pac,biz,0
30635,Housing First,pac,issue,1
30631,HRC Equality Votes Minnesota,pac,issue,1
70041,HRC Minnesota PAC,pac,issue,0
41042,Hunting and Angling Club,pac,issue,0
30209,IAFF-Local #1935 PAC,pac,labor,0
30655,IATSE Local #13 PAC Fund,pac,labor,0
30331,IBEW - COPE,pac,labor,0
30316,IBEW 110 PAC,pac,labor,0
40094,IBEW Local #31 Volunteer COPE Fund,pac,labor,0
30119,IBEW Local 292 Political Education Fund,pac,labor,0
30236,IBEW Local 343 Political Education Fund (fka Electr Loc 343 IBEW Ed Fd),pac,labor,0
40404,IBEW Minn State Council PAC,pac,labor,0
40056,IFAPAC Minn,pac,biz,0
30308,IFO Political Action Committee Fund (Inter Faculty Organization),pac,labor,0
30629,Impact Minnesota Political Fund,pac,prodfl,1
40248,Independent Community Bankers of Minn PAC,pac,biz,0
41015,Independent Republican Party of Minn,pac,,0
70014,Insurance Federation Political Action Comm,pac,biz,0
30058,International Union of Operating Engineers,pac,labor,0
30350,Iron Range Bldg Trades-PAF,pac,labor,0
30194,Iron Range Labor Assembly Legislative Fund,pac,labor,0
30092,Iron Workers Local 512,pac,labor,0
80030,IUPAT District Council 82 PAC,pac,labor,0
30611,IUPAT Political Action Together Pol Committee,pac,labor,0
41046,Jacobson Buffalo PAC,pac,,0
30013,Joint Council 32 DRIVE,pac,labor,0
41030,Justice in Minnesota,pac,,0
40896,Kandiyohi Co Business Leadership Fund,pac,biz,0
40712,Laborers District Council of Minn & ND Pol Fund,pac,labor,0
30624,Larkin Hoffman Political Fund,pac,lawyers,0
30228,Lawyers Public Affairs Commission (LawPAC),pac,lawyers,0
40996,Leaders Aligned for Health Care,pac,issue,0
41008,League of Young Voters PAC,pac,,0
40889,Leech Lake PAC,pac,indian,0
40909,Legacy Project for Political Empowerment,pac,,0
30242,Leonard Street and Deinard PAC,pac,lawyers,0
40105,Lindquist & Vennum Political Fund,pac,lawyers,0
41010,LISA PAC Minn,pac,,0
40401,Local 1833 Political Fund IAMAW,pac,labor,0
30064,Local 28 Political Fund,pac,labor,0
30620,Local 548 PAC,pac,labor,0
30022,Local 59 Political Fund,pac,labor,0
30652,Local 68 Political Action Fund,pac,labor,0
40820,Local 851 Political Action Committee,pac,labor,0
40837,Local Action Political Action Committee,pac,labor,0
30024,Local S-6 IAFF Political Fund,pac,labor,0
30230,Lockridge Grindal Nauen PLLP State Pol Fnd,pac,lawyers,0
40930,Log Cabin Republicans of Minnesota,pac,prorpm,0
40882,Lommen Nelson Political Action Committee,pac,lawyers,0
30327,Lower Sioux Political Education Fund,pac,indian,0
70010,MABC PAC,pac,biz,0
40978,MADC Political Fund (fka MN Assn of Deaf Citizens Inc),pac,issue,0
30293,MAFMIC Political Action Committee,pac,biz,0
30348,Mah Mah Wi No Min Fund I,pac,indian,0
40713,MAIDA (Minn Asian-Indian Democratic Assoc),pac,issue,0
80015,MAMBI PAC,pac,,0
30260,Management Concerned for Public Education,pac,,0
30270,MAPE-PAC,pac,labor,0
40988,Maplewood Voters,pac,,0
40983,Maplewood Voters Coalition,pac,,0
30342,Maslon Edelman Borman & Brand Pol Action Comm,pac,lawyers,0
30190,MCCL State Pac,pac,issue,0
80011,MCEA Political Action Committee,pac,issue,0
40620,"McGrann,Shea,Franzen,Carnival,Straughn & Lamb",pac,lawyers,0
30612,Meagher & Geer PLLP Political Fund,pac,lawyers,0
40977,Medical Transportation PAC,pac,biz,0
40036,MEDPAC Minn Medical Political Action Comm,pac,biz,0
40786,Messerli & Kramer Political Action Comm,pac,lawyers,0
40906,MetroNorth Chamber of Commerce PAC,pac,biz,0
41091,MGFA Political Committee,pac,,0
80019,MHHP - PAF,pac,biz,0
41077,Michele PAC Minnesota,pac,prorpm,0
41017,Midcontinent Communications MN PAC,pac,biz,0
40945,MIDLAC,pac,,0
40950,Midwest Values PAC - MN,pac,prodfl,0
70046,MIFSC PAC (MN Insurance & Financial Services Council),pac,biz,0
40953,Milk Producers PAC,pac,biz,0
30615,Millwrights Local 1348 PAC,pac,labor,0
40914,Mining Industry Leadership Fund,pac,biz,0
70009,Minn ACORN Political Action Committee,pac,issue,0
30025,Minn AFL-CIO,pac,labor,0
40201,Minn AGPAC,pac,biz,0
41043,Minn Ambulatory Surgery Center Assn,pac,biz,0
40192,Minn Architects Political Action Comm,pac,biz,0
80026,Minn Assoc of Professional Employees Political Fund,pac,labor,0
40751,Minn Bank State PAC,pac,biz,0
70004,Minn Business Partnership PAC,pac,biz,0
30127,Minn Cable Comm Assoc - PAC,pac,biz,0
30553,Minn CAP-PAC,pac,biz,0
70001,Minn Chamber of Commerce Leadership Fd,pac,biz,0
30111,Minn Chiropractic Political Action Comm,pac,biz,0
70005,Minn CPAs Public Affairs Committee,pac,biz,0
30018,Minn Dental Political Action Committee,pac,biz,0
40839,Minn Electrical Assn PAC,pac,biz,0
70040,Minn Electrical Industry Pol Action Comm,pac,biz,0
70054,Minn Emergency Physicians Action Committee,pac,biz,0
80001,Minn Eye PAC,pac,biz,0
70038,Minn Farm Bureau PAC,pac,biz,0
40561,Minn Farm Credit Services PAC,pac,biz,0
40543,Minn Farmers Union PAC,pac,biz,0
70043,Minn Funeral Services PAC,pac,biz,0
70053,Minn Green Industry Political Action Committee,pac,issue,0
40714,Minn Hospital PAC,pac,biz,0
30277,Minn Independent Insurance Agents PAC,pac,biz,0
40666,Minn Manufactured Home PAC,pac,biz,0
40824,Minn New Democrat Political Action Comm,pac,prodfl,0
70021,Minn NOW PAC,pac,prodfl,0
30245,Minn Nurses Assn Pol Comm (MNA-PC),pac,labor,0
41019,Minn Open Progressives Political Committee,pac,prodfl,0
30089,Minn Operators of Music and Amusement PF,pac,biz,0
41090,Minn Organization of Republican Veterans (MORVets),pac,prorpm,0
80003,Minn PACE,pac,,0
40562,Minn Physical Therapy PAC,pac,biz,0
30599,Minn Pipe Trades Assn PAC Fund,pac,labor,0
30135,Minn Podiatry PAC,pac,biz,0
30288,Minn Police & Peace Officers Assoc Leg Fund,pac,labor,0
40789,Minn Power PAC,pac,biz,0
70044,Minn PRO PAC,pac,,0
30098,Minn Professional Fire Fighters PAC,pac,labor,0
70006,Minn Realtors Political Action Committee,pac,biz,0
30591,Minn Seasonal Recreational Property Owners PAC,pac,biz,0
70030,Minn Service Cooperatives PAC,pac,biz,0
40123,Minn Service Station Assoc,pac,biz,0
41060,Minn Solutions,pac,,0
70022,Minn Soybean PAC,pac,biz,0
30060,Minn State Council of UNITE HERE Unions,pac,labor,0
30115,Minn State MNPL,pac,prodfl,0
30002,Minn State Patrol Troopers Assoc,pac,labor,0
40919,Minn Thoroughbred Assn PAC Fund,pac,issue,0
40756,Minn TruckPAC (fka Minn Trucking Assn State PAC),pac,biz,0
40494,Minn Wheat Political Action Committee,pac,biz,0
40041,Minn Women's Political Caucus/PAC,pac,issue,0
41072,Minn Young DFL,pac,prodfl,0
30012,Minneapolis Bldg & Construct Trades Council,pac,labor,0
41084,Minneapolis Democrats for Truth,pac,prodfl,0
70017,Minneapolis Downtown Council PAC,pac,biz,0
40254,Minneapolis Fire Department Pensioners PCF,pac,labor,0
30031,Minneapolis Firefighters Fraternal Assn (fka Relief Assn Pol Fund),pac,labor,0
30007,Minneapolis Municipal Retirement Assoc,pac,labor,0
80029,Minneapolis Police Fraternal Association,pac,labor,0
30128,Minneapolis Police Relief Assoc,pac,labor,0
70045,Minneapolis Regional Chamber of Commerce PAC,pac,biz,0
30011,Minneapolis Regional Labor Federation,pac,labor,0
30123,Minneapolis Retired Police Assoc Political Fund,pac,labor,0
30632,Minnesota - America Votes,pac,prodfl,1
41051,Minnesota Future LLC,pac,prorpm,1
30650,Minnesota Momentum,pac,ie,1
41087,Minnesota PAC,pac,,0
40995,Minnesotans for Limited Government,pac,issue,0
40875,Minnesotans for Lower Taxes,pac,issue,0
41034,Minnesotans for Personal Choice & Competition in Health Care,pac,ie,1
70051,Minnesotans for Racino PAC,pac,biz,0
40989,Minnesota's Future,pac,prorpm,1
80017,MMGMA PAC,pac,biz,0
70016,MN Corn State PAC (fka MN Corn),pac,biz,0
41035,MN FORWARD,pac,prorpm,1
70050,MN HomeCare PAC,pac,biz,0
30195,MN Retailers IMPACT (fka Mn Retail Pol Advocacy Fd),pac,biz,0
30608,MN State Bldg & Construction Trades Cncl Pol Fund,pac,labor,0
80010,MN Utility Investors Pol Action Fund,pac,biz,0
40940,MOHPA PAC,pac,biz,0
40907,Motorcycle PAC of Minn,pac,issue,0
41040,MPA Political Action Committee,pac,,0
80022,MPS PAC,pac,labor,0
80002,MSA-PAC,pac,issue,0
30324,MSCA-PAC,pac,,0
30108,MTA PAC (fka SITCO PAC),pac,biz,0
80007,MUCA PAC (Minn Utility Contractors Assn),pac,,0
30124,Multi Housing Political Action Committee,pac,biz,0
80006,MWL Voter Outreach Political Fund,pac,,0
30557,NAIOP Economic Growth Fund,pac,biz,0
30552,NARAL Pro-Choice Minn Election Fund,pac,issue,0
30638,NARAL Pro-Choice Minnesota,pac,ie,1
30656,National Assn of Realtors Fund,pac,biz,1
41080,New Americans,pac,,0
30659,Next Minnesota Inc,pac,,0
40741,NFIB/MN Save Americas Free Enterprise Trust,pac,biz,0
30561,North Central States Carpenters PAC,pac,labor,0
41081,North Star Project,pac,,0
41023,North Star SFAA-PAC,pac,biz,0
40994,Northeast ALC PAC,pac,labor,0
40069,Northwest Petroleum NPPAC,pac,biz,0
70035,NRA Political Victory Fund,pac,issue,0
40894,Ottertail Power PAC,pac,biz,0
70033,OutFront Minnesota Action,pac,issue,0
30633,OutFront MN Action Independent Expenditure Fund,pac,issue,1
40507,Painters Union Local No 61 Political Action,pac,labor,0
40246,PAL 9 Natl Assoc of Letter Carriers,pac,labor,0
40276,Paper Allied-Ind Chem & Energy Workers Intl Union,pac,biz,0
41036,Pass the Minnesota Health Plan,pac,issue,0
41011,Patriot PAC,pac,,0
70049,PCI Minnesota Political Action Committee,pac,biz,0
30268,People in Construction Political Action Comm,pac,biz,0
40980,People United For Freedom,pac,,0
40016,PharmPAC,pac,biz,0
30610,Pile Drivers PAC Fund,pac,labor,0
40821,Pine Bend PAC,pac,biz,0
30239,Pipe Fitters Local 539,pac,labor,0
30628,"Planned Parenthood Minnesota, North Dakota, South Dakota Action Fund",pac,issue,1
80012,Planned Parenthood of Minn Pol Action Fund,pac,issue,0
30571,Plumbers & Pipefitters Local #589 Pol Action Comm,pac,labor,0
30577,Plumbers & Steamfitters Local 11 PAC Fund,pac,labor,0
30033,Plumbers Local Union #15 COPE Account,pac,labor,0
30574,Police Officers Alliance of MN Pol Action Fund,pac,labor,0
30085,Police Officers Fed of Mpls Contingency Fund,pac,labor,0
30555,Prairie Island Indian Community PAC,pac,indian,0
30176,Principals Action League,pac,issue,0
80014,Printing Industries Political Action Committee,pac,biz,0
40971,Private Citizens for Hutchinson,pac,,0
41047,Pro Jobs Majority,pac,biz,1
40927,Progressive Action Duluth,pac,prodfl,0
41092,Progressive Kick IE,pac,prodfl,1
40981,Progressive Majority Minnesota,pac,prodfl,0
40975,PROGRESSPPAC,pac,,0
80027,Project 515 PAC,pac,issue,0
40275,Public Emp Pension Serv Assn (PEPSA) Pol Fund,pac,labor,0
30654,Public Safety Matters Campaign,pac,labor,1
40933,Putting Minnesota First,pac,prodfl,1
40990,Real Republican Majority-Minn,pac,prorpm,0
70025,Red Wing Area Business Leadership Council,pac,biz,0
41012,Republican Liberty Caucus of Minn,pac,,0
41013,Republican Metropolitan Committee,pac,,0
41032,Resource Party,pac,,0
30151,Retired Peoples Political Action Fund,pac,labor,0
30568,Rice Michels & Walther LLP Political Fund,pac,biz,0
30258,RKM&C Fund,pac,lawyers,0
40098,Road PAC of Minn,pac,biz,0
30032,Robbinsdale Federation of Teachers COPE Fund,pac,labor,0
40979,Rochester Citizens Coalition,pac,,0
40238,Rural Electric Political Action Comm,pac,biz,0
40872,Rural Minn Preservation,pac,issue,0
41097,RYPAC,pac,,0
41041,RYPAC,pac,,0
30192,Saint Paul Teachers Pension PAC,pac,labor,0
30341,School Lunch Bunch,pac,,0
40984,SD 19 DFL Food Booth,pac,prodfl,0
70042,Secretary of State Project - Minnesota,pac,,0
30579,SEH Employees Minn Committee,pac,,0
30093,SEIU Healthcare Minn (fka SEIU Local 113),pac,labor,0
30602,SEIU Local 26 Political Fund,pac,labor,0
30037,SEIU Minn State Council Political Fund,pac,labor,0
40967,Senate District 30 Fund,pac,,0
70032,Sensible Gun Laws,pac,issue,0
30607,Service Employees Local 63,pac,labor,0
40550,Shakopee Mdewakanton Sioux,pac,indian,0
30588,Sheet Metal Workers PAC 10,pac,labor,0
80020,Sierra Club Political Committee,pac,issue,0
41085,Small Business Minnesota Political Action Committee,pac,biz,0
70052,SMART PAC,pac,biz,0
30560,So Dakota Cty Labor Council COPE Fund,pac,labor,0
30120,SOF-PAC,pac,biz,0
30637,Somali Action Alliance Political Fund,pac,issue,1
30221,Southern Minn Beet Sugar Cooperative PAC,pac,biz,0
41038,Southern Minnesota Conservative Alliance,pac,prorpm,0
41078,Spec Corp for Ethics and Justice in America,pac,ie,1
40958,Sportsmen for Change,pac,issue,0
30234,Sprinkler Fitters Local Union No 417,pac,labor,0
30255,St Croix Valley Central Labor Union,pac,labor,0
30556,St Paul Area Chamber of Commerce PAC,pac,biz,0
30154,St Paul Firefighters Local 21 Political Action Committee,pac,labor,0
30325,St Paul Pipefitters Local 455 PAC,pac,labor,0
30603,St Paul Police Federation Political Awareness Fund,pac,labor,0
40790,St Paul Regional Labor Federation AFL-CIO (fka St Pl Trds & Lbr Asmbly PAC),pac,labor,0
41049,State Fund for Economic Growth LLC,pac,biz,1
40634,Stonewall DFL (The),pac,prodfl,0
41055,Stop Zebra Mussel Association,pac,issue,0
30550,Suburban School Emp Local 284 Pol Act Fund,pac,labor,0
70026,Take Action PAC,pac,prodfl,0
30636,TakeAction Political Fund,pac,prodfl,1
40794,Taxpayers League MN Victory Fund,pac,prorpm,0
30622,TCO Political Action Committee,pac,biz,0
80023,Teamsters Local 120 DRIVE,pac,labor,0
30641,TEMPO Political Fund,pac,,0
40987,Tenth Judicial District Evaluation Committee,pac,,0
30225,TRIAL-PAC,pac,lawyers,0
40963,TRUTH PAC,pac,,0
41048,Twin Cities Jewish Community PAC,pac,issue,0
40810,Twin Cities Republican Assn,pac,prorpm,0
70013,TwinWest Chamber of Commerce PAC,pac,biz,0
30083,U A Plumbers Local #34 Political Fund,pac,labor,0
40245,U of M Faculty Candidate Support Committee,pac,issue,0
30035,UAW Minn State CAP Council Political Fd,pac,labor,0
41001,UFCW Active Ballot Club,pac,labor,0
30649,Unidos Votamos - United We Vote,pac,,0
30606,UNITE HERE TIP State and Local Fund-MN,pac,labor,0
30174,United Food & Commerical Workers Council 6,pac,labor,0
40745,United Steelworkers District 11 Non-Federal Acct,pac,labor,0
40961,USW Local 264 PAC,pac,labor,0
30041,USW LU 1938 PAC,pac,labor,0
30019,UTU PAC-MN,pac,labor,0
80005,VET-PAC of Minn,pac,issue,0
41021,VOICES of Conservative Women State PAC (VOICESPAC),pac,prorpm,0
40761,Volunteer Fire Fighter Political Committee,pac,issue,0
30191,VOTE - 66,pac,labor,0
41050,Vote Racino Now Committee,pac,issue,1
40941,WAMP,pac,,0
40537,Waste Management PAC of Minn,pac,biz,0
41062,Whig Party of Minnesota,pac,,0
40916,White Earth PAC,pac,indian,0
30625,WIN Minnesota Political Action Fund,pac,prodfl,1
40913,Windingstad Political Action,pac,,0
30345,Winthrop & Weinstine PA Political Fund,pac,biz,0
41089,Women's Victory Fund (Women PAC),pac,ie,1
40268,womenwinning State PAC,pac,prodfl,0
30623,Working America Minn Political Committee,pac,labor,1
30618,Working Families Fund,pac,labor,0
40877,Xcel Energy Employees PAC (fka Power PAC),pac,biz,0
40974,Young Progressive Majority MN,pac,prodfl,0
41082,ZacPAC,pac,,0
